iter	Passed	Remaining
1127	8067	492566
1128	8074	492579
1129	8081	492559
1130	8089	492577
1131	8095	492539
1132	8103	492529
1133	8110	492535
1134	8117	492497
1135	8124	492490
1136	8131	492474
1137	8138	492495
1138	8145	492476
1139	8153	492472
1140	8160	492501
1141	8168	492507
1142	8175	492509
1143	8182	492489
1144	8189	492471
1145	8196	492451
1146	8203	492470
1147	8210	492436
1148	8217	492430
1149	8224	492389
1150	8231	492362
1151	8237	492315
1152	8244	492296
1153	8251	492275
1154	8258	492247
1155	8265	492254
1156	8273	492274
1157	8280	492268
1158	8287	492267
1159	8294	492253
1160	8301	492246
1161	8308	492220
1162	8315	492185
1163	8322	492167
1164	8328	492116
1165	8336	492121
1166	8342	492092
1167	8350	492080
1168	8356	492048
1169	8363	492002
1170	8370	492000
1171	8377	491971
1172	8384	491942
1173	8391	491933
1174	8398	491923
1175	8405	491934
1176	8412	491913
1177	8419	491892
1178	8426	491874
1179	8432	491826
1180	8440	491831
1181	8447	491800
1182	8454	491793
1183	8461	491782
1184	8468	491787
1185	8475	491793
1186	8482	491755
1187	8489	491754
1188	8497	491759
1189	8504	491742
1190	8511	491742
1191	8518	491709
1192	8524	491677
1193	8531	491668
1194	8538	491613
1195	8545	491611
1196	8552	491593
1197	8559	491568
1198	8566	491562
1199	8573	491572
1200	8580	491530
1201	8586	491474
1202	8593	491443
1203	8600	491436
1204	8607	491441
1205	8614	491402
1206	8622	491417
1207	8629	491449
1208	8637	491479
1209	8644	491427
1210	8651	491419
1211	8658	491442
1212	8666	491469
1213	8674	491500
1214	8682	491525
1215	8689	491534
1216	8697	491558
1217	8704	491540
1218	8711	491540
1219	8720	491608
1220	8727	491638
1221	8735	491643
1222	8743	491682
1223	8750	491687
1224	8758	491709
1225	8766	491745
1226	8773	491770
1227	8781	491802
1228	8789	491838
1229	8797	491858
1230	8805	491908
1231	8813	491956
1232	8821	492009
1233	8829	492040
1234	8836	492036
1235	8845	492087
1236	8852	492115
1237	8860	492140
1238	8868	492184
1239	8876	492228
1240	8885	492306
1241	8892	492319
1242	8899	492305
1243	8907	492301
1244	8913	492263
1245	8920	492239
1246	8927	492220
1247	8934	492213
1248	8941	492201
1249	8948	492175
1250	8955	492172
1251	8962	492141
1252	8969	492142
1253	8977	492149
1254	8984	492161
1255	8992	492160
1256	8998	492118
1257	9005	492105
1258	9012	492073
1259	9018	492028
1260	9025	491994
1261	9031	491946
1262	9039	491941
1263	9045	491894
1264	9052	491870
1265	9058	491829
1266	9065	491785
1267	9072	491757
1268	9079	491749
1269	9086	491725
1270	9093	491704
1271	9099	491676
1272	9106	491646
1273	9113	491643
1274	9120	491634
1275	9127	491594
1276	9134	491569
1277	9141	491577
1278	9148	491572
1279	9155	491537
1280	9162	491504
1281	9169	491518
1282	9177	491530
1283	9184	491542
1284	9192	491589
1285	9201	491631
1286	9208	491669
1287	9217	491709
1288	9225	491744
1289	9232	491781
1290	9241	491861
1291	9249	491907
1292	9257	491936
1293	9265	491954
1294	9273	491981
1295	9281	492014
1296	9288	492026
1297	9296	492054
1298	9303	492064
1299	9312	492108
1300	9319	492126
1301	9327	492164
1302	9335	492202
1303	9343	492245
1304	9352	492289
1305	9359	492291
1306	9367	492311
1307	9374	492337
1308	9382	492355
1309	9390	492377
1310	9397	492400
1311	9405	492394
1312	9412	492397
1313	9419	492375
1314	9425	492330
1315	9432	492317
